HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1,Answer 2,Answer 3
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3NG53N1RLVJ2H0717QPT4W2J5Y38PR,A3EUGO4VR2N4G1,Approved,"Mon Jun 23 20:34:17 PDT 2014","Mon Jun 23 20:56:12 PDT 2014",0.32,  Cool Hit!  I just looked for the thing that looked different than the rest.  The circles were real easy to see.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",36W0OB37HWEPOFA0X3H187XWIGYZHG,A2A9JD9UV8DQZX,Approved,"Mon Jun 23 20:25:17 PDT 2014","Mon Jun 23 20:56:34 PDT 2014",0.34,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3LO69W1SU3DRJUYLYW8AFSAXO7EGLG,A3P74FP62XNVYI,Approved,"Mon Jun 23 20:29:00 PDT 2014","Mon Jun 23 20:56:42 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3L0KT67Y8EGE9YEBCBRHYEVWLXDYSB,A13Q8W0MU2Q928,Approved,"Mon Jun 23 20:40:22 PDT 2014","Mon Jun 23 21:02:31 PDT 2014",0.37,  No strategies,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3SB5N7Y3O34EMY9Z93MRH8I9L930GR,A2B8HPIZDKYKDR,Approved,"Mon Jun 23 20:29:02 PDT 2014","Mon Jun 23 21:18:24 PDT 2014",0.40,"  Thanks for the study, best of luck to you in your research!",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3Z2R0DQ0JHENYUGMIV0H0TQC5S9E2B,ANHV4PX8X76VR,Approved,"Mon Jun 23 22:48:51 PDT 2014","Mon Jun 23 23:05:59 PDT 2014",0.35,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",32ZKVD547FNEC90LC4CWIVPJ89W3BB,A2SNUFZUPYZZY,Approved,"Mon Jun 23 22:49:09 PDT 2014","Mon Jun 23 23:13:35 PDT 2014",0.36,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3TOK3KHVJTIGWMQHILK81W1YKA1O75,A3DEDZGF5EYAF,Approved,"Mon Jun 23 22:48:39 PDT 2014","Mon Jun 23 23:14:52 PDT 2014",0.34,  I just picked one specific color and looked for it in the spot that it was suppose to be.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3M68NM076H70PZ4SR3WKPD670M2R6J,A3RAFM6030DC3G,Approved,"Mon Jun 23 22:51:21 PDT 2014","Mon Jun 23 23:16:49 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",32Z9ZLUT1LKDPBWTVU6KS9QSYD1HO4,A22GVUGZ3FI2CY,Approved,"Mon Jun 23 23:01:02 PDT 2014","Mon Jun 23 23:22:09 PDT 2014",0.29,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3AMYWKA6YBMXSMCCZBFGVI12PZOO6D,A1WL3NZ50YEOWP,Approved,"Mon Jun 23 23:06:28 PDT 2014","Mon Jun 23 23:24:42 PDT 2014",0.43,"Man, only 43 more cents? I blazed through that! Oh well, it was kind of fun.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3KV0LJBBH2L2E2PKEJ31E93TQMLRMX,A34JHQV6WN1EC5,Approved,"Mon Jun 23 23:01:28 PDT 2014","Mon Jun 23 23:26:01 PDT 2014",0.25,  It was easiest for me when I focused in on the location of the blue rather than yellow.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3WLEIWSYHOHZI47O8W8NLWNPX86H2Z,A10H67KQC60B92,Approved,"Mon Jun 23 23:01:16 PDT 2014","Mon Jun 23 23:29:10 PDT 2014",0.25,"  If it was a circle I would focus on the outer ring. If I saw it, I clicked 'a'.
If it was a different shape I would focus on what I thought the most prominent feature was.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3X0H8UUIT1OAKTJBXA9TDHAGAQMWSL,A3T3K88IYZ9H8K,Approved,"Mon Jun 23 23:09:51 PDT 2014","Mon Jun 23 23:32:12 PDT 2014",0.37,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",33CID57104TQPIMX3H1QWYLOK3GL3M,A3862RIFFUV141,Approved,"Mon Jun 23 23:03:00 PDT 2014","Mon Jun 23 23:35:36 PDT 2014",0.35,  I just glanced to see if what I was looking for was there.  Sometimes I'd focus on what I was told other times I just tried to quickly see if there was one that was different from the rest.  Both strategies worked about the same for me I discovered.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3K2755HG5S327IEYAV44EU2GEKMDFA,A2FV2V5G0MFT11,Approved,"Mon Jun 23 23:09:27 PDT 2014","Mon Jun 23 23:38:28 PDT 2014",0.27,"  Thank you for letting me participate.

I tried to use a memorization and patter recognition for determining if the target shape was in the picture.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3OJSZ2ATDSWUOCKZD6O9SQ173F675T,A1EI4NMV2EHSIY,Approved,"Mon Jun 23 23:13:09 PDT 2014","Mon Jun 23 23:40:29 PDT 2014",0.25,  The ones with the circles seemed to be easier to pick out. Thank you! ;p,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3RUIQRXJBBO75MCM9N5QSKF5KPELL7,A2L3MQ65OLYV35,Approved,"Mon Jun 23 23:23:47 PDT 2014","Mon Jun 23 23:43:01 PDT 2014",0.35,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3YW4XOSQKQLXY5VCPRF8ZS2AZAZ1U8,AYPHCPDYNIY88,Approved,"Mon Jun 23 23:12:46 PDT 2014","Tue Jun 24 00:03:53 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3R6P78PK7KBF276Q75A11JKEIM0GTN,AQVP5IH2S6WCB,Approved,"Tue Jun 24 00:14:27 PDT 2014","Tue Jun 24 01:03:13 PDT 2014",0.25,"  Thank you for the opportunity to participate. It worked just fine once I realized that there was a cookie that had been blocked. It just got kind of tiring at the end of the study, sorry about the incorrect choices.

   Hope to work with you again soon!",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",32Q90QCQ1SLIFAKC716L0PC6NGWKEH,A4TAQBKTB06BG,Approved,"Wed Jul 09 10:23:24 PDT 2014","Wed Jul 09 10:39:34 PDT 2014",0.37,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3300DTYQT2H4QDI7K6QIWBOFMMOQEF,A2631BM7J7H37K,Approved,"Wed Jul 09 10:25:09 PDT 2014","Wed Jul 09 10:45:54 PDT 2014",0.25,  Enjoyed.  I started concentrated on one color ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3TE3O857308C7YLR41KHZ0PVL54R2J,A1W8EUA2YVAANQ,Approved,"Wed Jul 09 10:46:33 PDT 2014","Wed Jul 09 11:00:55 PDT 2014",0.39,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3NJM2BJS4W64T3XEO25Y6IY2WEUPCZ,A15NH461BKAYCX,Approved,"Wed Jul 09 10:46:35 PDT 2014","Wed Jul 09 11:00:56 PDT 2014",0.40,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3SITXWYCNV9QS77ZWTJKPBENGS3XBO,A3OMUSG91MTI3H,Approved,"Wed Jul 09 10:47:14 PDT 2014","Wed Jul 09 11:02:03 PDT 2014",0.43,  Everything was clear and I have no comments. I did not use any strategies.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",39LNWE0K4UW8YBRAXY0ERRJWH06UI2,A3E73BVSABJ7LM,Approved,"Wed Jul 09 10:47:20 PDT 2014","Wed Jul 09 11:02:12 PDT 2014",0.36,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3PEIJLRY6TTIGA5ARKFGCPR8QTKWX2,AG4MMHVYMTXFD,Approved,"Wed Jul 09 10:46:26 PDT 2014","Wed Jul 09 11:03:37 PDT 2014",0.26,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3NC5L260MOMTBF5N04IKPOEFJMQFOJ,A2XUADP5L61HQ5,Approved,"Wed Jul 09 10:47:39 PDT 2014","Wed Jul 09 11:03:50 PDT 2014",0.39,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",37U1UTWH9VMNTDNGKITI9R2Y75WR8M,ARQHSPUFMBMA5,Approved,"Wed Jul 09 10:46:49 PDT 2014","Wed Jul 09 11:05:26 PDT 2014",0.25,  this was a lot of fun thank you=),Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3TE22NPXPBCF96YGX37SKMBJD5H44A,A2QSSS14HVUS42,Approved,"Wed Jul 09 10:45:57 PDT 2014","Wed Jul 09 11:05:54 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3NAPMVF0ZWF2PF1CVNMBUJYVKTB27W,AMNSX3GEWYDAH,Approved,"Wed Jul 09 10:47:02 PDT 2014","Wed Jul 09 11:06:02 PDT 2014",0.30,  Thanks!,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3FIJLY1B6U4BWFHOF4VZEOJ5TRLFPZ,A21LJN2RQBOTEA,Approved,"Wed Jul 09 10:45:31 PDT 2014","Wed Jul 09 11:08:35 PDT 2014",0.48,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3SKRO2GZ71RJV9Q0VDB6T5TCY7X1KK,A20H0JHSC0K14P,Approved,"Wed Jul 09 10:51:30 PDT 2014","Wed Jul 09 11:08:38 PDT 2014",0.38,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3R9WASFE2ZG5AJJU2DT15MLJ3QSZF4,A74EYSZ2A1Z3V,Approved,"Wed Jul 09 10:48:17 PDT 2014","Wed Jul 09 11:09:13 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3UN61F00HWP46V4EMKMFX7S75FVR5K,A7V4CVENA0DYV,Approved,"Wed Jul 09 10:46:42 PDT 2014","Wed Jul 09 11:09:24 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3OLQQLKKNSPN4QEUPG69ZACT8R1JEM,A2DB5PGPTMYVSD,Approved,"Wed Jul 09 10:45:36 PDT 2014","Wed Jul 09 11:10:37 PDT 2014",0.38,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3K772S5NP8BRDKJ41G3ONXWEVZXHEF,A2PB7WC0Y3T77L,Approved,"Wed Jul 09 10:47:08 PDT 2014","Wed Jul 09 11:11:28 PDT 2014",0.30,  I looked for one thing on the target and looked for that one color.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3HHRAGRYX85KA5EAXIISFSS4GOUO9Z,A16S6A7KRJEQYD,Approved,"Wed Jul 09 10:46:55 PDT 2014","Wed Jul 09 11:12:14 PDT 2014",0.28,  This was a challenging task!  I found it very interesting how the smaller cross shapes were much more difficult to differentiate than the others.  Perhaps it was because the bars involved two directions rather than a single space.  This was a very well laid out task.  I enjoyed completing this task.  Thank you and best wishes with your project.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3SNVL38CI4S3IC0YBA0QA1C324OCKL,A2GS6VJEP91PA9,Approved,"Wed Jul 09 10:47:35 PDT 2014","Wed Jul 09 11:12:28 PDT 2014",0.31,  all good,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3VZLGYJEYLAMA5AF27ZNBTLQ7VPZXW,A2H5FQFR4C014A,Approved,"Wed Jul 09 10:47:27 PDT 2014","Wed Jul 09 11:13:02 PDT 2014",0.31,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3BEFOD78W6TVDWNM377O6GSJZWAM4V,AIYGT8I9PZ9CC,Approved,"Wed Jul 09 12:34:36 PDT 2014","Wed Jul 09 13:00:28 PDT 2014",0.27,"  I found it easier when there was a difference in the proportions of color. The plus sign targets were trickier, since there were equal amounts of color.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",379J5II41OGTZG2US1IMFPPLCHELE0,A2J5DN5UMU0A3Z,Approved,"Wed Jul 09 14:24:40 PDT 2014","Wed Jul 09 14:48:46 PDT 2014",0.25,  Thank you! This was so much fun! ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3Y4W8Q93LZKR3F0OAA98WG5233EVDZ,A325BIJIG3AK1T,Approved,"Wed Jul 09 14:24:38 PDT 2014","Wed Jul 09 14:53:45 PDT 2014",0.28,  I had fun I was a lil jumping trying to rush but fun,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3GM6G9ZBKNXFUH2CI88WEO4BFWTTM2,A2X2PIPDCZJD2A,Approved,"Wed Jul 09 14:40:19 PDT 2014","Wed Jul 09 14:57:33 PDT 2014",0.33,"  The harder one was the crosshairs. They are smaller, and therefore, harder to see. The only strategy I had was to say outloud what I needed to find, like for example, blue circles when it was the one with the two orange lines, and so on. Saying it outload seemed to help me.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3EICBYG644W87SUGTP0E9MCQNGZCJZ,A2EAN17FAA9AQF,Approved,"Wed Jul 09 14:41:19 PDT 2014","Wed Jul 09 14:57:47 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3U4J9857OEBWDS18EGFMVC1ZE1F7BY,A2F79GFUWU5O96,Approved,"Wed Jul 09 16:07:09 PDT 2014","Wed Jul 09 16:29:10 PDT 2014",0.29,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",337RC3OW052A1ROGNR7WFTD7CD1LVS,A1WQSZDBSYT2FC,Approved,"Wed Jul 09 16:18:05 PDT 2014","Wed Jul 09 16:33:38 PDT 2014",0.26,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3ZY8KE4ISJ3LSO4TFWFSWFC1MJPVQS,A375ULPGXB54IQ,Approved,"Wed Jul 09 16:36:37 PDT 2014","Wed Jul 09 16:52:24 PDT 2014",0.26,"  Great HIT, thanks.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3H7Z272LX77XW7RK1FYX91OPQP2PLD,A1W0BOO1N1I8OG,Approved,"Wed Jul 09 16:38:29 PDT 2014","Wed Jul 09 16:53:49 PDT 2014",0.31,  Good survey ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3MTMREQS4VI6KXXHGAN2SHGAPA7AWC,A137M3BE46EV5L,Approved,"Wed Jul 09 16:39:51 PDT 2014","Wed Jul 09 16:54:11 PDT 2014",0.32,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",31Z0PCVWUKFW9EVPE267V67LK8J7TS,A2P499ZYDCGUQT,Approved,"Wed Jul 09 16:38:56 PDT 2014","Wed Jul 09 16:54:38 PDT 2014",0.39,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3J88R45B2GYSW189FY1LKVJCXYCXP7,A2NEIYO5SBOUDS,Approved,"Wed Jul 09 16:40:03 PDT 2014","Wed Jul 09 16:56:15 PDT 2014",0.33,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3X3OR7WPZZ0CQFS3FYWMNFTZ1F3L8Q,A1MZC8D6JFJQMB,Approved,"Wed Jul 09 16:39:59 PDT 2014","Wed Jul 09 16:56:46 PDT 2014",0.36,  Thanks for letting me participate. ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3NOKK93PR18FTAS2BFVI2UZ13LZEEU,A3G4SJREB8K0BG,Approved,"Wed Jul 09 16:37:24 PDT 2014","Wed Jul 09 16:56:58 PDT 2014",0.25,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",336YQZE83VED9FRMHCQYB8YXZUS5MA,A101WUMP4O5DY7,Approved,"Wed Jul 09 16:40:07 PDT 2014","Wed Jul 09 16:57:00 PDT 2014",0.26,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3ATPCQ38J8AA92SHVB5QDE1Q0I7AYB,A1AW7IV6DSSBVU,Approved,"Wed Jul 09 16:39:56 PDT 2014","Wed Jul 09 16:57:48 PDT 2014",0.24,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3YMTUJH0DSGZQRD6C480SUNBT6RT4S,A28V5XY8A0R6Q5,Approved,"Wed Jul 09 16:35:52 PDT 2014","Wed Jul 09 16:59:56 PDT 2014",0.25,  The hardest was the squares.  I scanned looking for a target color on the top of each square.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3OVR4I9USPJMYBLEV0E5NPCO9ZV4QS,A26Q0XPFMNH410,Approved,"Wed Jul 09 16:46:47 PDT 2014","Wed Jul 09 17:00:13 PDT 2014",0.34,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3CTOC39K37Q2VBZK28S3T0KCM6SJ7Z,A2OCU85PB4OIH1,Approved,"Wed Jul 09 16:41:54 PDT 2014","Wed Jul 09 17:00:31 PDT 2014",0.28,  I just tried to scan the entire screen quickly.  The program itself is a little glitchy and sometimes in the beginning I did not know what I was supposed to be looking for.  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",35K3O9HUABD7ZOSY6QFOKCK1FMFEFD,A367OEG3GLQWV3,Approved,"Wed Jul 09 16:44:21 PDT 2014","Wed Jul 09 17:00:44 PDT 2014",0.31,  The main strategy I used was to focus on blue being in a certain place. The circle ones where the exception where I found focusing on the color that made the bigger circle was easier.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3TAYZSBPLL8O8DL4JQKMPAUR79J2SI,A1HDTWGPSPCBPC,Approved,"Wed Jul 09 16:39:47 PDT 2014","Wed Jul 09 17:00:55 PDT 2014",0.26,"  please keep me in mind for any other hits like this, these are my favorite.",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3PM8NZGV8YGDWD9OFBGAK09M2UZQXS,A3LKTO2XUBO0YY,Approved,"Wed Jul 09 16:41:49 PDT 2014","Wed Jul 09 17:00:57 PDT 2014",0.33,  This was both an enjoyable and challenging task.  I could not find a good strategy when looking for the objects.  The only thing I could do was scan each object as quickly as possible and make a rushed decision.,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",39U1BHVTDLRE8VU2CQ3HIPV5F6X3TJ,A33QI63NVR8CUO,Approved,"Wed Jul 09 16:44:14 PDT 2014","Wed Jul 09 17:01:03 PDT 2014",0.24,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3SPJ0334213LAVVLPHI36D49Q5ZYJD,A16HSMUJ7C7QA7,Approved,"Wed Jul 09 16:35:57 PDT 2014","Wed Jul 09 17:01:09 PDT 2014",0.25,"  I just had orange on top, blue on top, in my mind- I had a hard time with the little squares- I'd push L and then there was one, even when there were only 4 or 5- I messed up- I actually did not see it-weird- the larger ones I could do partially with peripheral. Did my best, thank you",Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3U5JL4WY5K9678MQHE9XHX8H62HX4H,A2JRBTFJ2XFLJF,Approved,"Wed Jul 09 16:45:14 PDT 2014","Wed Jul 09 17:01:57 PDT 2014",0.24,  ,Complete HIT,
3XU9MCX6VOCALENXEZEFAGT84TA2RG,"Needle in a Haystack","",3IRIK4HM3AKWJXF9966P0I7L1BZ6C9,A1PHFON68WLSZI,Approved,"Wed Jul 09 16:42:52 PDT 2014","Wed Jul 09 17:02:06 PDT 2014",0.25,  reminded myself which part of the object was blue....double checked by making sure there was one different than the rest,Complete HIT,
